name,said_name,User_ID,User Name,handle,Vocation,No# of Rows,Followers,Avg Retweets per Tweet,Avg Likes per Tweet,Ranking_by_followers,URL,Overall sentiment of the user,Assigned color for the sentiement (in hexidecimal)
"""Miley Ray Cyrus""",Miley Ray Cyrus,268414482,mileycyrus,@mileycyrus,Music,"1,009.00","44,790,000.00","6,238.22","43,282.72",23,https://i.ibb.co/nRzBftX/Miley-Cyrus.jpg,,
"""Narendra Modi""",Narendra Modi,18839785,narendramodi,@narendramodi,Politics,205,"52,720,000.00","4,823.42","26,886.07",17,https://i.ibb.co/KmH5RYf/Narendra-Modi.jpg,,
"""NASA""",NASA,11348282,nasa,@nasa,Technology,"1,548.00","34,820,000.00",904.14,"4,253.51",39,https://i.ibb.co/cy0cgjT/NASA.jpg,,
"""Neymar Jr""",Neymar Jr,158487331,neymarjr,@neymarjr,Sports,"1,754.00","45,300,000.00","3,827.56","21,574.93",20,https://i.ibb.co/1QdcVw8/New-York-Times.png,,
"""Niall Horan""",Niall Horan,105119490,niallofficial,@niallofficial,Music,619,"39,480,000.00","14,521.76","59,682.04",32,https://i.ibb.co/QJBsjms/NeymarJr.png,,
"""Oprah Winfrey""",Oprah Winfrey,19397785,oprah,@oprah,Entertainment,"1,413.00","42,800,000.00",667.57,"3,274.89",28,https://i.ibb.co/BjwvqK5/Nial-Horan.jpg,,
"""P!nk""",P!nk,28706024,pink,@pink,Music,383,"32,200,000.00",881.69,"6,346.64",46,https://i.ibb.co/n71j0mx/Oprah.jpg,,
"""Real Madrid C.F.⚽""",Real Madrid C.F.⚽,14872237,realmadrid,@realmadrid,Sports,"2,287.00","33,580,000.00",915.21,"6,843.70",44,https://i.ibb.co/Tcr5gJn/Mandatory-Credit-Photo-by-Joel-C-Ryan-Invision-AP-REX-Shutterstock-10112788ao-Singer-Pink-poses-for.jpg,,
"""Rihanna""",Rihanna,79293791,rihanna,@rihanna,Music,833,"95,570,000.00","6,906.54","22,786.03",3,https://i.ibb.co/s63tZ2m/Real-Madrid.png,,
"""Salman Khan""",Salman Khan,132385468,beingsalmankhan,@beingsalmankhan,Entertainment,505,"38,990,000.00","3,718.87","21,410.55",33,https://i.ibb.co/9Nprxhr/Rihanna.jpg,,
"""Selena Gomez""",Selena Gomez,23375688,selenagomez,@selenagomez,Music,477,"59,630,000.00","8,916.56","16,979.81",13,https://i.ibb.co/YtNhLJ8/Salaman-Khan.jpg,,
"""Shah Rukh Khan""",Shah Rukh Khan,101311381,iamsrk,@iamsrk,Entertainment,217,"39,720,000.00","2,400.35","13,556.86",31,https://i.ibb.co/0qc6vV9/Selena-Gomez.jpg,,
"""Shakira""",Shakira,44409004,shakira,@shakira,Music,"1,037.00","51,730,000.00",941.87,"6,383.15",18,https://i.ibb.co/k86RC96/Shakira.png,,
"""SportsCenter""",SportsCenter,26257166,sportscenter,@sportscenter,News/Media,222,"36,120,000.00","2,164.27","14,275.21",35,https://i.ibb.co/XX71krF/Sha-Rukh-Khan.jpg,,
"""Taylor Swift""",Taylor Swift,17919972,taylorswift13,@taylorswift13,Music,59,"85,850,000.00","20,207.52","112,182.44",4,https://i.ibb.co/RTjvT1Y/Sport-Center.png,,
"""The New York Times""",The New York Times,807095,nytimes,@nytimes,News/Media,40,"44,960,000.00",241.97,685.79,21,https://i.ibb.co/4VvVSx1/arrives-at-the-The-58th-GRAMMY-Awards-at-Staples-Center-on-February-15-2016-in-Los-Angeles-City.jpg,,
"""Twitter""",Twitter,783214,twitter,@twitter,News/Media,41,"57,470,000.00","20,707.38","87,177.01",14,https://i.ibb.co/Tr1KqYJ/Twitter.png,,
"""Virat Kohli""",Virat Kohli,71201743,imvkohli,@imvkohli,Sports,401,"33,380,000.00","2,922.43","35,412.27",45,https://i.ibb.co/Q6cZYSs/Virat-Kohli.png,,
"""Wiz Khalifa""",Wiz Khalifa,20322929,wizkhalifa,@wizkhalifa,Music,413,"35,710,000.00","3,794.88","14,440.25",38,https://i.ibb.co/XzHtYYF/Wiz-Khalifa.jpg,,
"""YouTube""",YouTube,10228272,youtube,@youtube,News/Media,574,"72,230,000.00","1,676.08","6,552.77",8,https://i.ibb.co/8zJnX54/Youtube.png,,
