,_id,index,name,Identity,User_ID,User Name,handle,Vocation,No# of Rows,Followers,Avg Retweets per Tweet,Avg Likes per Tweet,Ranking_by_followers,URL,Overall sentiment of the user,Assigned color for the sentiement (in hexidecimal),WikiSummary
10,60eed4f6060d3647c22b4805,10,"""Cristiano Ronaldo""",Cristiano Ronaldo,155659213,cristiano,@cristiano,Sports,451,"83,110,000.00","6,824.88","39,274.85",5.0,https://i.ibb.co/xf0QThd/Cristiano-Ronaldo.jpg,,,"Cristiano Ronaldo dos Santos Aveiro GOIH ComM (Portuguese pronunciation: [kɾiʃˈtjɐnu ʁɔˈnaɫdu]; born 5 February 1985) is a Portuguese professional footballer who plays as a forward for Serie A club Juventus and captains the Portugal national team. Often considered the best player in the world and  widely regarded as one of the greatest players of all time, Ronaldo has won five Ballons d'Or and four European Golden Shoes, both of which are records for a European player. He has won 32 major trophies in his career, including seven league titles, five UEFA Champions Leagues, one UEFA European Championship, and one UEFA Nations League title."
11,60eed4f6060d3647c22b4806,11,"""Donald J. Trump""",Donald J. Trump,25073877,realdonaldtrump,@realdonaldtrump,Politics,270,"71,440,000.00","18,761.75","78,174.65",9.0,https://i.ibb.co/xSb29Gh/Donald-Trump.jpg,,,"Donald John Trump (born June 14, 1946) is an American media personality and businessman who served as the 45th president of the United States from 2017 to 2021.
Born and raised in Queens, New York City, Trump attended Fordham University and the University of Pennsylvania, graduating with a bachelor's degree in 1968. He became the president of his father Fred Trump's real estate business in 1971 and renamed it The Trump Organization."
12,60eed4f6060d3647c22b4807,12,"""Drizzy""",Drake (Drizzy?),27195114,drake,@drake,Music,94,"38,850,000.00","8,123.56","7,222.63",34.0,https://i.ibb.co/9v2gkn9/Drake.jpg,,,"Aubrey Drake Graham (born October 24, 1986) is a Canadian rapper, singer, songwriter, actor, producer, and entrepreneur. Gaining recognition by starring in the television series Degrassi: The Next Generation (2001–2007), Drake released his debut mixtape Room for Improvement in 2006; pursing a career in music, he released the mixtapes Comeback Season (2007) and So Far Gone (2009) before signing with Young Money Entertainment.Drake released his debut studio album Thank Me Later in 2010, which debuted at number one on the US Billboard 200. He achieved major critical success with Take Care (2011), and commercial success with Nothing Was the Same (2013) and his first commercial mixtape If You're Reading This It's Too Late (2015); the later two were certified multi-platinum in the US. Drake's fourth album Views (2016) sat atop the Billboard 200 for 13 nonconsecutive weeks, becoming the first album by a male solo artist to do so in over a decade."
13,60eed4f6060d3647c22b4808,13,"""Ellen DeGeneres""",Ellen DeGeneres,15846407,theellenshow,@theellenshow,Entertainment,725,"79,350,000.00",794.05,"6,969.19",7.0,https://i.ibb.co/jH4pWsg/Ellen.jpg,,,"Ellen Lee DeGeneres ( də-JEN-ər-əs; born January 26, 1958) is an American comedian, television host, actress, writer, and producer. She starred in the sitcom Ellen from 1994 to 1998 and has hosted her syndicated television talk show, The Ellen DeGeneres Show, since 2003.
Her stand-up career started in the early 1980s and included a 1986 appearance on The Tonight Show Starring Johnny Carson."
14,60eed4f6060d3647c22b4809,14,"""ESPN""",ESPN,2557521,espn,@espn,News/Media,165,"34,730,000.00","1,583.86","11,272.79",40.0,https://i.ibb.co/0V5KyY3/ESPN.jpg,,,"ESPN (originally an initialism for Entertainment and Sports Programming Network) is an American multinational basic cable sports channel owned by ESPN Inc., owned jointly by The Walt Disney Company (80%) and Hearst Communications (20%). The company was founded in 1979 by Bill Rasmussen along with his son Scott Rasmussen and Ed Egan.
ESPN broadcasts primarily from studio facilities located in Bristol, Connecticut."
15,60eed4f6060d3647c22b480a,15,"""FC Barcelona""",FC Barcelona,96951800,fcbarcelona,@fcbarcelona,Sports,543,"31,790,000.00",792.91,"8,414.43",47.0,https://i.ibb.co/0G4QHm9/FCBarcelona.png,,,"Futbol Club Barcelona (Catalan pronunciation: [fubˈbɔl ˈklub bəɾsəˈlonə] (listen)), commonly referred to as Barcelona and colloquially known as Barça ([ˈbaɾsə]), is a Spanish professional football club based in Barcelona, that competes in La Liga, the top flight of Spanish football.
Founded in 1899 by a group of Swiss, Spanish, and English footballers led by Joan Gamper, the club has become a symbol of Catalan culture and Catalanism, hence the motto ""Més que un club"" (""More than a club""). Unlike many other football clubs, the supporters own and operate Barcelona."
16,60eed4f6060d3647c22b480b,16,"""Harry Styles.""",Harry Styles,181561712,harry_styles,@harry_styles,Music,88,"33,990,000.00","62,442.15","104,197.62",42.0,https://i.ibb.co/RHrmBRY/Mandatory-Credit-Photo-by-David-Fisher-Shutterstock-10558798nm-Harry-Styles40th-Brit-Awards-Arrivals.jpg,,,"Harry Edward Styles (born 1 February 1994) is an English singer, songwriter, and actor. His musical career began in 2010 as a solo contestant on the British music competition series The X Factor. Following his elimination early on, he was brought back to join the boy band One Direction, which went on to become one of the best-selling boy bands of all time."
17,60eed4f6060d3647c22b480c,17,"""Instagram""",Instagram,180505807,instagram,@instagram,News/Media,370,"36,080,000.00",224.49,"1,107.31",37.0,https://i.ibb.co/sjG9p6j/Instagram.jpg,,,"Instagram (commonly abbreviated to IG, Insta or the gram) is an American photo and video sharing social networking service created by Kevin Systrom and Mike Krieger. In April 2012, Facebook acquired the service for approximately US$1 billion in cash and stock. The app allows users to upload media that can be edited with filters and organized by hashtags and geographical tagging."
18,60eed4f6060d3647c22b480d,18,"""Jennifer Lopez""",Jennifer Lopez,85603854,jlo,@jlo,Music,"1,260.00","44,310,000.00",337.87,"3,179.47",26.0,https://i.ibb.co/PcDdyJq/THE-TONIGHT-SHOW-STARRING-JIMMY-FALLON-Season-1-Pictured-Jimmy-Fallon-Photo-by-James-White-NBC.jpg,,,"Jennifer Lynn Lopez (born July 24, 1969), also known by her nickname J.Lo, is an American singer, actress, and dancer. In 1991, Lopez began appearing as a Fly Girl dancer on In Living Color, where she remained a regular until she decided to pursue an acting career in 1993. For her first leading role in the 1997 Selena biopic of the same name, Lopez became the first Latin actress to earn over US$1 million for a film."
19,60eed4f6060d3647c22b480e,19,"""jimmy fallon""",Jimmy Fallon,15485441,jimmyfallon,@jimmyfallon,Entertainment,"1,430.00","51,630,000.00",895.87,"4,856.98",19.0,https://i.ibb.co/bm9Ny0b/JLo.jpg,,,"James Thomas Fallon (born September 19, 1974) is an American comedian, actor, television host, singer, writer, and producer. He is known for his work in television as a cast member on Saturday Night Live and as the host of late-night talk show The Tonight Show Starring Jimmy Fallon and before that Late Night with Jimmy Fallon.
Fallon grew up with an interest in comedy and music, moving to Los Angeles at 21 to pursue opportunities in stand-up comedy."
